TDEP,FACCZ,D4TM,ZACC,ZAC2,DXTM,DXT2,F1B1,F2B1,F3B1,F4B1,F5B1,F6B1,EDD1,EDD2,EDD3,EDD4,EDD5,EDD6,ERD1,ERD2,ERD3,ERD4,ERD5,ERD6
4200.027597655839,1.8364921,4842.0,0.9961651,0.9961651,27793,27794,395,316,189,327,413,369,72.89513,145.90785,637.8975,132.78267,62.909657,91.136734,74.46169,99.71634,213.78395,59.00228,77.38624,278.87393
4200.025097655839,1.838535,4859.0,0.9970806,0.9970806,27795,27796,398,314,177,321,421,376,71.07165,148.65622,790.45374,140.24236,58.573475,85.6358,73.880806,97.19204,183.4326,59.17404,77.09197,274.5566
4200.022597655839,1.8367474,4876.0,0.9971823,0.9971823,27799,27800,404,313,179,316,426,388,67.65312,149.7532,752.77313,147.05446,56.385857,77.285645,72.56003,92.44819,203.38234,59.49569,76.34545,317.57608
4200.020097655839,1.8415995,4892.0,0.9966737,0.9966737,27801,27802,407,308,176,313,431,407,65.926315,157.21103,799.34515,150.3168,54.334953,65.997025,73.157906,90.79373,269.27545,60.098793,76.22244,388.97086
4200.0175976558385,1.8364921,4909.0,0.9966737,0.9966737,27803,27804,404,309,167,317,433,430,67.42834,155.66063,948.7555,145.69926,53.23433,54.69961,71.17848,87.65636,318.09216,63.166958,77.05011,422.56775
4200.015097655839,1.8387903,4934.0,0.9971823,0.9971823,27805,27806,398,308,165,318,438,474,71.214165,157.73471,995.2631,144.22249,51.032864,38.43086,67.749916,84.880424,341.80753,66.97256,78.325874,473.31818
4200.012597655839,1.832406,4959.0,0.9974875,0.9974875,27807,27808,396,311,173,321,443,524,72.30152,153.80672,852.0598,139.14522,49.19311,25.92902,64.372856,83.82857,358.17432,69.22061,79.51074,479.71976
4200.010097655839,1.8398118,4976.0,0.9974875,0.9974875,27809,27810,399,314,166,327,444,553,70.472275,148.50081,974.7844,132.28886,48.603436,20.730904,66.606346,79.201546,372.24612,70.245804,83.14423,484.63574
4200.007597655839,1.8357259,4992.0,0.996572,0.996572,27811,27812,400,314,170,333,444,553,69.95175,149.43813,894.9847,124.96918,48.820805,20.743027,69.98621,76.72061,388.52808,69.355576,84.93566,508.9762
4200.005097655839,1.8377689,5009.0,0.99586,0.99586,27813,27814,395,317,166,346,443,526,73.23333,144.42445,961.5939,110.93864,49.15903,25.518614,70.96514,76.514,429.63596,66.6276,87.82668,496.50784
4200.002597655839,1.8341937,5034.0,0.99484277,0.99484277,27817,27818,386,322,169,359,441,475,78.798546,137.97192,906.4003,98.97739,49.990223,37.978214,67.976845,74.00285,504.342,58.880203,92.58228,484.63574
4200.0000976558385,1.8370028,5059.0,0.99463934,0.99463934,27819,27820,380,329,175,385,436,348,82.50552,129.42409,813.0639,79.73209,52.13908,108.989525,66.792465,71.548325,552.64526,56.684505,93.239975,457.37915
4199.997597655839,1.8408333,5076.0,0.99463934,0.99463934,27821,27822,375,335,185,392,425,294,86.21072,123.03471,687.25134,75.22198,57.08902,179.64813,65.28619,70.551926,767.96155,56.95718,97.33885,423.2209
4199.995097655838,1.8352152,5092.0,0.99382555,0.99382555,27823,27824,378,337,189,396,418,262,83.91896,121.04284,640.77356,72.72304,60.010044,251.22108,61.57385,69.61705,953.7587,58.722675,98.4205,393.81012
4199.992597655839,1.8341937,5109.0,0.991486,0.991486,27825,27826,381,341,198,397,412,253,82.123955,116.66876,559.98254,71.9872,63.44402,277.78192,58.98779,68.0801,1137.1738,63.55582,102.8492,381.09802
4199.990097655838,1.8377689,5126.0,0.9890447,0.9890447,27829,27830,387,345,209,394,405,255,78.14832,112.06681,475.64786,73.55003,66.81957,271.40527,60.808395,67.20918,1194.6068,75.593414,109.18887,361.64185
4199.987597655839,1.8380243,5142.0,0.9885361,0.9885361,27831,27832,393,348,214,395,400,264,74.22825,109.64487,441.65186,73.0591,69.605286,246.42139,64.92761,65.714676,1128.1344,80.88659,110.72452,362.56735
4199.985097655838,1.8347044,5159.0,0.9885361,0.9885361,27833,27834,398,349,238,398,393,278,71.00061,108.060165,329.90616,71.2661,74.1902,211.83592,67.29947,64.25607,877.1279,83.99467,115.41376,360.72104
4199.982597655839,1.8326614,5184.0,0.9880275,0.9880275,27835,27836,395,352,251,399,390,278,72.74581,105.88543,283.2275,70.66443,76.14065,211.83592,68.20552,62.97243,699.79926,86.08105,114.38896,374.05463
4199.980097655838,1.8329169,5209.0,0.9878241,0.9878241,27837,27838,393,355,263,392,388,245,73.95773,102.968895,248.5547,75.22198,77.17582,302.02686,67.749466,61.578274,441.01706,84.243675,115.79096,403.91498
4199.9775976558385,1.8362366,5226.0,0.9878241,0.9878241,27839,27840,393,356,277,387,388,238,74.46169,101.57006,213.78395,78.19845,77.38624,330.13873,66.72962,59.863148,272.50247,83.20765,116.84113,420.7073
4199.975097655839,1.8362366,5242.0,0.98609483,0.98609483,27841,27842,393,356,292,383,388,242,73.880806,102.2279,183.4326,80.6815,77.09197,312.67682,65.70958,59.386967,161.3086,82.29201,118.20559,412.1402
