TDEP,ACC_0_T,RGR_T,TVETM_T,TXDC_T,TXIOUT_T,TXPOUT_T,TXVOUT_T
4198.400097655833,8063,355.0,30.006,404,2.7985,10.177026,3.6366
4198.375097655833,8059,265.0,30.006,404,2.7985,10.177026,3.6366
4198.3500976558325,8051,295.0,30.006,404,2.7985,10.177026,3.6366
4198.325097655833,8069,353.33334,30.006,404,2.7985,10.177026,3.6366
4198.300097655832,8050,345.0,30.3394,404,2.7985,10.177026,3.6366
4198.275097655833,8062,335.0,30.3394,404,2.7985,10.177026,3.6366
4198.250097655832,8057,390.0,30.3394,404,2.7985,10.177026,3.6366
4198.2250976558325,8045,270.0,30.3394,404,2.7985,10.177026,3.6366
4198.200097655832,8063,373.33334,30.3394,404,2.7985,10.177026,3.6366
4198.175097655832,8080,335.0,30.3394,404,2.7985,10.177026,3.6366
4198.150097655832,8049,330.0,30.3394,404,2.7985,10.177026,3.6366
4198.125097655832,8052,310.0,30.3394,404,2.7985,10.177026,3.6366
4198.100097655832,8050,245.0,30.3394,404,2.7985,10.177026,3.6366
4198.075097655832,8055,265.0,30.006,404,2.7985,10.177026,3.6366
4198.050097655831,8062,313.33334,30.006,404,2.7985,10.177026,3.6366
4198.025097655832,8065,235.0,30.006,404,2.7985,10.177026,3.6366
4198.000097655831,8029,330.0,30.006,404,2.7985,10.177026,3.6366
4197.975097655832,8051,350.0,30.006,404,2.7985,10.177026,3.6366
4197.950097655831,8040,260.0,30.006,404,2.7985,10.177026,3.6366
4197.925097655831,8025,280.0,30.006,404,2.7985,10.177026,3.6366
4197.900097655831,8074,400.0,30.006,404,2.7985,10.177026,3.6366
4197.875097655831,8038,370.0,30.006,404,2.7985,10.177026,3.6366
4197.850097655831,8063,345.0,30.006,404,2.7985,10.177026,3.6366
4197.825097655831,8058,290.0,30.006,404,2.7985,10.177026,3.6366
4197.8000976558305,8068,360.0,30.006,404,2.7985,10.177026,3.6366
4197.775097655831,8056,373.33334,30.3394,404,2.7985,10.177026,3.6366
4197.75009765583,8060,335.0,30.3394,404,2.7985,10.177026,3.6366
4197.725097655831,8051,395.0,30.3394,404,2.7985,10.177026,3.6366
4197.70009765583,8036,350.0,30.3394,404,2.7985,10.177026,3.6366
4197.6750976558305,8084,305.0,30.3394,404,2.7985,10.177026,3.6366
4197.65009765583,8066,345.0,30.3394,404,2.7985,10.177026,3.6366
4197.62509765583,8058,240.0,30.3394,404,2.7985,10.177026,3.6366
4197.60009765583,8048,285.0,30.3394,404,2.7985,10.177026,3.6366
4197.57509765583,8069,265.0,30.3394,404,2.7985,10.177026,3.6366
4197.55009765583,8058,270.0,30.006,404,2.7985,10.177026,3.6366
4197.52509765583,8052,335.0,30.006,404,2.7985,10.177026,3.6366
4197.500097655829,8041,333.33334,30.006,404,2.7985,10.177026,3.6366
4197.47509765583,8048,380.0,30.006,404,2.7985,10.177026,3.6366
4197.450097655829,8092,340.0,30.006,404,2.7792,10.106839,3.6366
4197.42509765583,8067,395.0,30.006,404,2.7792,10.106839,3.6366
4197.400097655829,8056,250.0,30.006,404,2.7792,10.106839,3.6366
4197.375097655829,8023,330.0,30.006,404,2.7792,10.106839,3.6366
4197.350097655829,8035,365.0,30.006,404,2.7792,10.106839,3.6366
4197.325097655829,8036,335.0,30.006,404,2.7792,10.106839,3.6366
4197.300097655829,8067,330.0,30.006,404,2.7792,10.106839,3.6366
4197.275097655829,8049,366.66666,30.006,404,2.7792,10.106839,3.6366
4197.2500976558285,8055,230.0,30.3394,404,2.7792,10.106839,3.6366
4197.225097655829,8075,280.0,30.3394,404,2.7792,10.106839,3.6366
